Data,Periodo,Link Acceso
Recaudación tributaria nacional,1996,https://contenidos.afip.gob.ar/institucional/estudios/archivos/1996.htm
Recaudación tributaria nacional,1997,https://contenidos.afip.gob.ar/institucional/estudios/archivos/1997.htm
Recaudación tributaria nacional,1998,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie98.htm
Recaudación tributaria nacional,1999,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie99.htm
Recaudación tributaria nacional,2000,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2000.htm
Recaudación tributaria nacional,2001,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2001.htm
Recaudación tributaria nacional,2002,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2002.htm
Recaudación tributaria nacional,2003,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2003.xls
Recaudación tributaria nacional,2004,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2004.xls
Recaudación tributaria nacional,2005,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2006.xls
Recaudación tributaria nacional,2006,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2006.xls
Recaudación tributaria nacional,2007,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2007.xls
Recaudación tributaria nacional,2008,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2008.xls
Recaudación tributaria nacional,2009,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2009.xls
Recaudación tributaria nacional,2010,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2010.xls
Recaudación tributaria nacional,2011,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2011.xls
Recaudación tributaria nacional,2012,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2012.xls
Recaudación tributaria nacional,2013,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2013.xls
Recaudación tributaria nacional,2014,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2014.xls
Recaudación tributaria nacional,2015,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2015.xls
Recaudación tributaria nacional,2016,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2016.xls
Recaudación tributaria nacional,2017,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2017.xls
Recaudación tributaria nacional,2018,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2018.xls
Recaudación tributaria nacional,2019,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2019.xls
Recaudación tributaria nacional,2020,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2020.xls
Recaudación tributaria nacional,2021,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2021.xls
Recaudación tributaria nacional,2022,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2022.xls
Recaudación tributaria nacional,2023,https://contenidos.afip.gob.ar/institucional/estudios/archivos/serie2023.xls
